标题,播放,评论
台湾民众怒了：在民进党施政下，活得一点尊严都没有！,2.6万,124
外交部宣布制裁佩洛西,7.9万,5
我们拿文心一言和chatGPT比了比，结果是…,7058,15
【卢克文工作室】河南人的痛苦，只有河南人自己知道,616.4万,6.3万
蔡英文欲窜美，大陆直接摊牌了，已改变对她的称呼，用意值得细品,36.5万,258
欧洲议员发出灵魂拷问：我们是要与中国打仗么？这对我们有什么好处？我们有毛病吧？,265.3万,788
普京：2022年俄罗斯对外贸易额增长8.1%，全年实现贸易顺差3320亿美元,1.5万,11
“报告！发现一枚手榴弹”,19.3万,72
中国共产党国际形象网宣片《CPC》,357.3万,0
《声生不息·宝岛季》杨宗纬《鹿港小镇》抚平游子乡愁，愿霓虹灯照亮回家的路,8727,6
秦刚：中国式现代化一不靠战争二不靠殖民三不靠掠夺,27.3万,2717
福建舰最新画面曝光，舰体被熏黑有2好消息，电磁阻拦超美福特级,4.4万,156
王建煊:我当选后立即谈判和平统一 我们就叫中华人民共和国台湾特别行政区,29.2万,788
他是一个爱国者，把自己的一生都献给了这个国家,126.5万,0
广大青年要怀抱梦想又脚踏实地,22.5万,0
台湾教授喊话蔡英文“不接受一个中国 大陆跟你有什么可谈”,72.1万,79
儿子研制神舟飞船送爸爸上太空！,3.4万,36
一招自测发际线是否正常，科学记录发量变化,70万,1626
俄罗斯面面观 | 探访莫斯科购物中心：西方品牌撤出后 中国品牌填补空缺,4.4万,76
东北忘关单元门楼道冻成冰溶洞，拍摄者：怕造成危险拍照后清理了,86.1万,279
【中国天团】狙击枪上放弹壳，她能坚持70分钟不掉落！,8.1万,7
久居中国的美国人如何看待中美关系,4.7万,172
种业翻身仗是什么“仗”？这“仗”怎么打？,29万,1369
18万养老钱存银行，银行：帮你买成保险啦,135.8万,5089
正衣冠、盥洗礼、叩首礼、束脩礼……古人的拜师礼有多讲究,2.2万,28
38年前的今天，五星红旗首次在南极飘扬！,1096,2
听INTO-1刘宇《春风予你》，让雷锋精神常驻心间,12.9万,965
那年今日，刘胡兰英勇就义！,1.9万,316
