标题,播放,评论
网传“厅长儿子炫富”，这是又一个周劼？警方通报来了 #长春警方通报网民高调炫父,1.1万,63
什么样的实验室要建在地下700米？,131.1万,3164
台海军陆战队真枪被掉包成模型枪，军方吓得赶紧全面清点,4.8万,31
魂归来兮！短短2小时航程他们走了几十年：2分钟回顾志愿军烈士回家路,5.8万,107
"学生父亲吐槽""家长又有作业了""被老师踢出群聊  教育局：已介入调查",18.4万,92
重温习近平9年新年贺词,53.5万,0
强军征途｜中国航母首位女舵手徐玲：爱此蔚蓝 护其安全,1.3万,0
李肃：特朗普革命快弄假成真了，关押特朗普美国的火山会真的喷发,5.5万,125
“管好你自己”，美指控墨西哥“人权和暴力问题”，墨西哥总统：美方必须回应，蓄意破坏“北溪”的指控！,2.4万,18
專訪陳貝兒：暑假開拍《無窮》3　路程題材比前兩季「有過之而無不及」,4100,9
再见了，乡秀树！杰克奥特曼人间体团时郎去世,84.4万,2467
中国台湾男孩说唱盼统一，福建舰，福建见！,454.8万,4681
女子遭前夫报复割喉，伤口长达十多厘米，目前该男子已被拘留,10万,153
鹰警官上线！重庆一猫头鹰被派出所救助后开展反诈宣传,23.7万,115
震惊了！他们居然在十万吨级大船上养了它！,17.2万,84
科学家怀疑高级文明在背后操控地球：太阳系三处“异常”被发现,1万,14
兔狲妈妈被雪豹捕杀 四川野生动物监测员投食喂养小兔狲,8.4万,90
警方销毁49000瓶毒饮料：含管制药品，会使人麻醉及短暂失忆,1.6万,6
18万养老钱存银行，银行：帮你买成保险啦,135.7万,5087
81岁奶奶熬夜看霸总小说，写两本字典厚心得，孙女：比我考试认真,4.1万,30
130秒梳理！台北故宫的中华国宝有多珍贵,3.8万,31
顿涅茨克等四地“入俄公投”结果公布 外交部回应,30.5万,231
大陆暂停进口2066项台湾食品,201.8万,251
【卢克文工作室】访谈：时隔多年，做了近视手术的人现在都怎样了？,89万,1385
旅行者荧点上一首《走马》，优菈：“不复刻的这个仇，我记下了”,16万,74
高燃！轰炸机穿越台湾海峡......200秒回顾解放军环台岛军演全程,4.2万,5
听哭了！袁隆平生前唯一作词歌曲《种子》MV发布,25.2万,1202
奥巴马警告民主党：别只盯着特朗普,8.6万,38
